id;hoofdstuk;regel;titel;samenvatting;spreker;npcs;flags_geschreven;relaties_geschreven;flags_gelezen;stat_checks;uitrusting;puzzle;combat;image;eretitel;aantal_keuzes;keuzes
CH1_B04;CH1;2817;De Bijl van Hephaistos;Hephaistos wordt gehaald en heft zijn bijl. Poortwachter: naamvalpuzzel.;;hephaistos;;;;;;puzzle_ch1b_naamval;;;;1;Kijk niet weg -> CH1_B05
CH1_B05;CH1;2839;Wat uit het Hoofd Breekt;"De klap valt; Athena wordt volgroeid en gewapend uit Zeus' hoofd geboren.";;;;;;;;;;birth_of_athena.png;;1;Kijk hoe ze voor het eerst ademhaalt -> CH1_B06
CH1_B06;CH1;2858;Pallas Athena;Athena slaakt haar strijdkreet. Keuze: naar Zeus kijken of naar de reacties van de andere goden.;;;;;;;;puzzle_ch1b_vocativus;;;;2;"Kijk hoe Zeus als eerste zijn stem hervindt -> CH1_B07 | Kijk naar de andere goden, die zich stilletjes terugtrekken -> CH1_B06B"
CH1_B06B;CH1;2878;Niet Iedereen Kijkt met Bewondering;"Optionele zijscène: Ares' jaloezie, Hera's berekening, Hermes' plezier. Komt weer samen.";;;;;;;;;;;;1;Wacht af hoe zij antwoordt -> CH1_B07
CH1_B07;CH1;2894;De Aanroeping van Zeus;"Athena erkent Zeus als vader; hij strekt zijn hand uit. Drie houdingskeuzes, één vervolg.";;;;;;;;;;;;3;"Kijk toe, vooral benieuwd wat haar aanwezigheid voor de Olympos gaat betekenen -> CH1_B08 | Kijk toe, vooral afwachtend wat er nu gaat gebeuren -> CH1_B08 | Kijk toe, ontroerd door het moment tussen vader en dochter -> CH1_B08"
CH1_B08;CH1;2912;Wijsheid Neemt Haar Plaats In;"Athena neemt haar plaats in als raadgeefster. Zet ch1_lijn=B + ch1_voltooid, souvenir (bronssplinter), eretitel.";;athena;ch1_lijn=B | ch1_voltooid=true;;;;souvenir_athena_geboorte | armor:robe;;;;ch1_b_athena;3;"Daal meteen af — er is nog werk te doen -> CH1_B09 | Daal af, nog steeds nadenkend over wat je zojuist hebt gezien -> CH1_B09 | Daal af, dankbaar dat je bij zo'n geboorte mocht zijn -> CH1_B09"
CH1_B09;CH1;2950;Het Orakel Verschijnt;Het Orakel verschijnt en prijst het terugbrengen van Athena's geboorte.;;;;;;;;;;orakel_verschijnt.png;;1;Luister verder -> CH1_ROBE
CH1_C01;CH1;2972;De Titaan die Mensen Vormde;"Lijn C. Een oude vrouw vertelt hoe Prometheus de mensen vormde en Epimetheus hen vergat. Drie houdingskeuzes, één vervolg.";;prometheus;;;;;;;;;;3;"Loop resoluut door — verhalen zijn mooi, maar je wilt het zelf zien -> CH1_C02 | Loop verder in gedachten, niet meteen overtuigd van het hele verhaal -> CH1_C02 | Haast je naar de vallei, bewogen door het verhaal van de oude vrouw -> CH1_C02"
CH1_C02;CH1;2995;De Kille Vallei;"De kille vallei zonder vuur; Prometheus besluit in te grijpen. Keuze: meteen volgen of het donker afwachten.";;;;;;;;;;;;2;"Volg hem meteen, vastbesloten als hij is -> CH1_C03 | Wacht tot het donker is, zodat hij ongezien de Olympos op kan -> CH1_C02B"
CH1_C02B;CH1;3012;Wachten op het Duister;Prometheus wacht op het duister en oefent zijn tocht. Zuivere vertraging.;;;;;;;;;;;;1;Volg hem terwijl hij zich naar het vuur van de goden waagt -> CH1_C03
CH1_C03;CH1;3028;Het Woord voor Vuur;Bij de haard van de goden staat een woord gekrast. Poortwachter: lidwoordpuzzel.;;;;;;;;puzzle_ch1c_lidwoord;;;;1;Kom dichterbij -> CH1_C03B
CH1_C03B;CH1;3047;Dichter bij het Vuur;De speler moet zelf dichter bij de haard komen. Drie routes (schaduw / Agilitas / Vis).;;;;;;agilitas 11 | vis 13;;;;;;3;"Blijf op veilige afstand, in de schaduw die er toch al ligt -> CH1_C03_OPEN | Sluip mee tussen de zuilen, exact in de pas van Prometheus -> CH1_C03_AGI | Klim in plaats daarvan recht langs de rotsrand omhoog — zwaarder, maar sneller bij de haard -> CH1_C03_VIS"
CH1_C03_OPEN;CH1;3063;In de Schaduw;Open route: op afstand blijven. Schrijft de dode flag ch1_c03_route=open.;;;ch1_c03_route=open;;;;;;;;;1;Kijk hoe Prometheus een vonk verbergt -> CH1_C04
CH1_C03_AGI;CH1;3080;In Zijn Pas;Agilitas-route: meesluipen in Prometheus' pas. Schrijft de dode flag ch1_c03_route=agilitas.;;;ch1_c03_route=agilitas;;;;;;;;;1;Kijk hoe Prometheus een vonk verbergt -> CH1_C04
CH1_C03_VIS;CH1;3097;Langs de Rotsrand;Vis-route: langs de rotsrand klimmen. Schrijft de dode flag ch1_c03_route=vis.;;;ch1_c03_route=vis;;;;;;;;;1;Kijk hoe Prometheus een vonk verbergt -> CH1_C04
CH1_C04;CH1;3114;De Diefstal;Prometheus verbergt een vonk in een vijgentak en brengt het vuur naar de mensen.;;;;;;;;;;;;1;Kijk toe hoe de hemel dit opmerkt -> CH1_C05
CH1_C05;CH1;3130;Zeus' Woede en Twee Straffen;"Zeus ziet de vuren en bedenkt twee straffen: de rots voor Prometheus, een geschenk voor de mensheid. Drie houdingskeuzes.";;;;;;;;;;;;3;"Kijk toe zonder oordeel — de goden doen wat goden doen -> CH1_C06 | Wacht simpelweg af wat Zeus heeft bedacht -> CH1_C06 | Vrees voor wat dit gaat opleveren, met medelijden voor wie straks de gevolgen zal dragen -> CH1_C06"
CH1_C06;CH1;3148;"Pandora, het Alomgeschonken Geschenk";"Pandora wordt gemaakt en door alle goden begiftigd; ze krijgt de verzegelde doos mee.";;pandora;;;;;;;;;;1;Volg Pandora naar de mensenwereld -> CH1_C07
CH1_C07;CH1;3169;De Doos die Ze Meekreeg;"Pandora komt bij Epimetheus; de doos knaagt aan haar. Poortwachter: naamvalpuzzel. Keuze: meteen kijken of Epimetheus' afleiding volgen.";;epimetheus;;;;;;puzzle_ch1c_naamval;;;;2;Kijk toe op het moment dat ze het deksel licht -> CH1_C08 | Kijk hoe Epimetheus probeert haar aandacht af te leiden -> CH1_C07B
CH1_C07B;CH1;3192;Een Poging tot Afleiding;"Epimetheus probeert haar af te leiden; 's nachts staat ze toch weer bij de doos. Zuivere vertraging.";;;;;;;;;;;;1;Kijk toe op het moment dat ze het deksel licht -> CH1_C08
CH1_C08;CH1;3208;Wat uit de Doos Ontsnapt;"De doos gaat open en alle kwalen ontsnappen. Drie houdingskeuzes, één vervolg.";;;;;;;;;;pandora.png;;3;"Richt je blik meteen op de doos — is dit werkelijk alles wat erin zat? -> CH1_C09 | Kijk toe, niet goed wetend wie of wat hier het meest je aandacht verdient -> CH1_C09 | Kniel bij Pandora neer, die verstijfd is van schrik en schuldgevoel -> CH1_C09"
CH1_C09;CH1;3229;Wat Achterblijft;Elpis (hoop) blijft als enige achter op de bodem. Drie houdingskeuzes naar de rots.;;pandora;;;;;;;;;;3;"Ga naar hem toe, vooral nieuwsgierig naar wat een titaan drijft tot zo'n offer -> CH1_C09B | Ga naar hem toe, zonder meteen te weten wat je tegen hem wilt zeggen -> CH1_C09B | Ga naar hem toe, vervuld van medelijden voor wat hij voor de mensheid heeft opgeofferd -> CH1_C09B"
CH1_C09B;CH1;3250;Naar de Rots;De tocht naar Prometheus' rots begint. Drie routes (karrenspoor / Vis / Prudentia).;;;;;;vis 13 | prudentia 11;;;;;;3;"Volg het karrenspoor dat om de berg heen naar de pas voert -> CH1_C09_PAD | Beklim de rotswand rechtstreeks, hand over hand tegen het zwaartepunt in -> CH1_C09_VIS | Lees het vluchtpatroon van de adelaar — zijn dagelijkse route verraadt de kortste weg naar de rots -> CH1_C09_PRU"
CH1_C09_PAD;CH1;3266;Het Karrenspoor;Open route: het lange karrenspoor. Schrijft de dode flag ch1_c09_route=open.;;;ch1_c09_route=open;;;;;;;;;1;Kijk omhoog naar waar Prometheus geketend hangt -> CH1_C10
CH1_C09_VIS;CH1;3283;Tegen het Zwaartepunt In;Vis-route: recht tegen de rotswand op. Schrijft de dode flag ch1_c09_route=vis.;;;ch1_c09_route=vis;;;;;;;;;1;Kijk omhoog naar waar Prometheus geketend hangt -> CH1_C10
CH1_C09_PRU;CH1;3300;Het Spoor van de Adelaar;Prudentia-route: het vluchtpatroon van de adelaar lezen. Schrijft de dode flag ch1_c09_route=prudentia.;;;ch1_c09_route=prudentia;;;;;;;;;1;Kijk omhoog naar waar Prometheus geketend hangt -> CH1_C10
CH1_C10;CH1;3317;"Geketend, Niet Gebroken";"Prometheus hangt geketend, de adelaar cirkelt; beneden branden duizend vuren. Poortwachter: vocativuspuzzel.";;;;;;;;puzzle_ch1c_vocativus;;;;1;Beantwoord zijn blik -> CH1_C11
CH1_C11;CH1;3336;Vuur en Hoop;"Prometheus zegt dat het het waard was. Zet ch1_lijn=C + ch1_voltooid, souvenir (kooltje), eretitel.";;prometheus;ch1_lijn=C | ch1_voltooid=true;;;;souvenir_prometheus | armor:robe;;;;ch1_c_prometheus;1;"Loop verder, terug naar de bewoonde wereld -> CH1_C12"
CH1_C12;CH1;3372;Het Orakel Verschijnt;Het Orakel verschijnt en prijst het terugbrengen van vuur en hoop.;;;;;;;;;;orakel_verschijnt.png;;1;Luister verder -> CH1_ROBE
CH1_ROBE;CH1;3394;De Mantel;Gedeelde afsluiting: het Orakel geeft de speler een mantel ter vervanging van zijn boerenvodden (ontgrendelt armor:robe).;;;;;;;;;;;;1;Trek de mantel aan -> CH1_CODEX_UITLEG
CH1_CODEX_UITLEG;CH1;3416;De Codex Memoriae;"Gedeelde afsluiting: de Boodschapper legt de Codex Memoriae uit. Zuiver uitleg-scherm, geen fictie-inhoud.";;;;;;;;;;;;1;Doorgaan -> CH1_EINDE
CH1_EINDE;CH1;3432;Het Einde van Hoofdstuk 1;"Hoofdstukafsluiting; de poort naar Hoofdstuk 2 opent.";;;;;;;;;;;;1;Stap door de poort -> CH2_000
CH2_000;CH2;3484;Wanneer Goden Beminnen;Hub van Hoofdstuk 2 (Hera's vier gezichten). Vier [DONE]-gemarkeerde lijnen plus een [REQUIRE:fragments=4]-gate naar Athena. Draagt de drie ch1_lijn-echo's.;;;;;ch2_lijn_latona | ch2_lijn_semele | ch2_lijn_kallisto | ch2_lijn_herakles | ch1_lijn | ch1_lijn | ch1_lijn;;;;;;;5;"Volg het spoor van Latona, een titanide die Jupiters kind draagt en nergens welkom is -> CH2_L01 | Volg het lot van Semele, een prinses van Thebe die niet weet wie haar minnaar werkelijk is -> CH2_S01 | Volg Kallisto, een jachtgezellin van Artemis die niemand kan vertrouwen wat ze ziet -> CH2_K01 | Volg Herakles, Zeus' sterfelijke zoon die Hera al haat sinds voor zijn geboorte -> CH2_H01 | Spreek het Orakel aan, nu alle vier de verhalen zijn gehoord -> CH2_ATHENA"
CH2_L01;CH2;3507;"Latona, Titanide en Minnares van Jupiter";Lijn Latona. Juno vervloekt Latona: geen vaste grond mag haar laten bevallen.;;latona | hera;;;;;;;;;;1;Volg Latona op haar zoektocht -> CH2_L02
CH2_L02;CH2;3526;Overal Geweigerd;"Latona wordt overal geweigerd; één oude herder wijst haar heimelijk naar het riet. Drie houdingskeuzes (één met eigen tussenscène).";;;;;;;;;;;;3;"Trek weifelend verder — je weet niet goed wat je van de herder moet denken -> CH2_L03 | Schuil dankbaar in het riet, ontroerd door zijn stille moed -> CH2_L02B | Trek meteen verder — je vertrouwt niemand meer die zo snel weer verdwijnt -> CH2_L03"
CH2_L02B;CH2;3544;Een Stil Gebaar;"Clementia-variant: een nacht in het riet, een stil gebaar van moed. Komt weer samen.";;;;;;;;;;;;1;"Ga met haar mee, verder op zoek naar een echte schuilplaats -> CH2_L03"
CH2_L03;CH2;3558;Eindeloos Dwalen;Latona dwaalt wekenlang. Poortwachter: praesens-puzzel.;;;;;;;;puzzle_ch2l_praesens;;;;1;"Blijf haar volgen, ondanks alles -> CH2_L04"
CH2_L04;CH2;3575;De Python van Juno;Juno stuurt de slang Python achter Latona aan.;;;;;;;;;;;;1;Wacht af wat ze doen -> CH2_L05
CH2_L05;CH2;3591;"""Fuge!""";Een reiziger schreeuwt 'Fuge!'. Poortwachter: imperativus-puzzel.;;;;;;;;puzzle_ch2l_imperativus;;;;1;Ren met haar mee -> CH2_L06
CH2_L06;CH2;3608;Niemand Die Helpen Kan;"Latona rent, niemand helpt. Poortwachter: posse-puzzel.";;;;;;;;puzzle_ch2l_posse;;;;1;Blijf naast haar -> CH2_L06B
CH2_L06B;CH2;3625;De Python op de Hielen;"De python wint terrein; de speler moet haar naar de kust krijgen. Drie routes (open / Agilitas / Robur).";;;;;;agilitas 11 | robur 13;;;;;;3;"Ren blindelings verder naast haar, op adrenaline alleen -> CH2_L06_OPEN | Leid haar zigzaggend tussen de rotsen door, te snel en te lenig voor het logge beest -> CH2_L06_AGI | Bijt door je eigen pijn heen en houd het tempo naast haar vol tot de kustlijn -> CH2_L06_ROB"
CH2_L06_OPEN;CH2;3641;Op Adrenaline Alleen;Open route: blindelings meerennen. Schrijft de dode flag ch2_l06_route=open.;;;ch2_l06_route=open;;;;;;;;;1;Kijk uit naar een laatste toevlucht -> CH2_L07
CH2_L06_AGI;CH2;3658;Zigzaggend Tussen de Rotsen;Agilitas-route: zigzaggen tussen de rotsen. Schrijft de dode flag ch2_l06_route=agilitas.;;;ch2_l06_route=agilitas;;;;;;;;;1;Kijk uit naar een laatste toevlucht -> CH2_L07
CH2_L06_ROB;CH2;3675;Door de Pijn Heen;Robur-route: het tempo volhouden tot de kust. Schrijft de dode flag ch2_l06_route=robur.;;;ch2_l06_route=robur;;;;;;;;;1;Kijk uit naar een laatste toevlucht -> CH2_L07
CH2_L07;CH2;3692;"Delos, het Drijvende Eiland";"Delos, het drijvende eiland, valt buiten Juno's vloek. Drie houdingskeuzes plus een Gratia-gate naar een echt andere scène.";;athena;;;;gratia 13;;;;;;4;"Wijs het eiland erop dat het toch al niets te verliezen heeft, rondzwervend als het is -> CH2_L08 | Smeek het eiland gewoon om hulp, zonder overtuigingskracht te zoeken -> CH2_L08 | Beloof het eiland eeuwige verering als het haar redt -> CH2_L08 | Spreek Delos aan als gelijke, niet als smekeling — twee verstotenen die elkaar herkennen -> CH2_L07B"
CH2_L07B;CH2;3714;Twee Verstotenen;"Gratia-route: de speler spreekt Delos aan als gelijke, twee verstotenen. Enige RELATION in het hoofdstuk (athena +1) — voedt de payoff in CH2_ATHENA.";;;ch2_l07_route=gratia;athena +1;;;;;;;;1;Kijk toe hoe Delos zich verankert -> CH2_L08
CH2_L08;CH2;3736;De Geboorte van Apollo en Diana;"Delos verankert zich; Apollo en Diana worden geboren. Zet ch2_lijn_latona, eretitel.";;latona | apollo | diana;ch2_lijn_latona=true;;;;;;;geboorte_apollo_diana.png;ch2_latona;1;"Kijk wat er nog met Latona gebeurt, nu haar tweeling geboren is -> CH2_L08B"
CH2_L08B;CH2;3775;De Vijver van de Boeren;"Coda: de boeren die Latona water weigeren worden kikkers; de speler plukt een waterlelie (souvenir).";;;;;;;souvenir_latona;;;;;1;Keer terug — er wachten nog meer verhalen -> CH2_000
