flag;dode_flag;wees_payoff;geschreven_in;aantal_schrijfplekken;gelezen_in;aantal_lezingen;schrijf_hoofdstuk;eerste_lees_hoofdstuk;afstand_hoofdstukken;afstand_scenes
ch5_016_route;true;false;CH5/CH5_016_OPEN=open | CH5/CH5_016_AGI=agilitas | CH5/CH5_016_VIS=vis;3;;0;5;;;
ch5_019_route;true;false;CH5/CH5_019_OPEN=open | CH5/CH5_019_VIS=vis | CH5/CH5_019_PRU=prudentia;3;;0;5;;;
ch5_024_route;true;false;CH5/CH5_024_OPEN=open | CH5/CH5_024_VIS=vis | CH5/CH5_024_AGI=agilitas;3;;0;5;;;
ch5_025_route;true;false;CH5/CH5_025_OPEN=open | CH5/CH5_025_AGI=agilitas | CH5/CH5_025_PRU=prudentia;3;;0;5;;;
ch5_bemanning_uitrusting;false;false;CH5/CH5_006=true;1;avatar-unlock:ontgrendelt armor:middel | avatar-unlock:ontgrendelt helm:bandana;2;5;;;
ch6_001_route;true;false;CH6/CH6_001_OPEN=open | CH6/CH6_001_VIS=vis | CH6/CH6_001_AGI=agilitas;3;;0;6;;;
ch6_007_route;true;false;CH6/CH6_007_OPEN=open | CH6/CH6_007_PRU=prudentia | CH6/CH6_007_AGI=agilitas;3;;0;6;;;
ch6_012_route;true;false;CH6/CH6_012_OPEN=open | CH6/CH6_012_VIS=vis | CH6/CH6_012_AGI=agilitas;3;;0;6;;;
ch6_015_route;true;false;CH6/CH6_015_OPEN=open | CH6/CH6_015_PRU=prudentia | CH6/CH6_015_AGI=agilitas;3;;0;6;;;
ch6_023_route;true;false;CH6/CH6_023_OPEN=open | CH6/CH6_023_AGI=agilitas | CH6/CH6_023_PRU=prudentia;3;;0;6;;;
ch6_diomedes_epigonen;true;false;CH6/CH6_020=true;1;;0;6;;;
ch8_zijde;false;false;CH8/CH8_ACH_001=achilles | CH8/CH8_AGA_001=agamemnon;2;payoff:CH8_EPI_005 | payoff:CH8_EPI_005;2;8;8;0;32
herakles_harnas;false;false;CH2/CH2_H09=true;1;payoff:CH3_H01 | payoff:CH9_002 | avatar-unlock:ontgrendelt armor:licht;3;2;3;1;32
herakles_taken_voltooid;true;false;CH2/CH2_H12=2 | CH3/CH3_H25=12;2;;0;2;;;
museum_mnemosyne_ontgrendeld;false;false;CH6/CH6_MUSEUM_00=true;1;"code:singleplayer.js:781  const inMuseum = !!(SP_STATE.flags||{}).museum_mnemosyne_ontgrendeld;";1;6;;;
