id;scene;hoofdstuk;regel;tekst;doel;echte_keuze;keuzes_in_scene;unieke_doelen;voorwaarde;approach;effect_flags;effect_relaties;gevolg
K0027;CH1_A01B;CH1;2312;Bedank de koopman voor zijn verhaal voor je verdergaat;CH1_A02;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0028;CH1_A02;CH1;2330;Ontcijfer het woord boven de poort;CH1_A02_PUZZLE;true;3;3;;;;;lokaal
K0029;CH1_A02;CH1;2330;Zet je schouder tegen de zijdeur van de wachtpost en forceer hem open;CH1_A02_VIS;true;3;3;STAT vis 13;;;;lokaal
K0030;CH1_A02;CH1;2330;"Wacht de wisseling van de wacht af en glip dan, ongezien, tussen hen door";CH1_A02_SLUIP;true;3;3;STAT prudentia 13;;;;lokaal
K0031;CH1_A02_PUZZLE;CH1;2350;Ontcijfer het woord;CH1_A03;false;1;1;;;;;doorklik
K0032;CH1_A02_VIS;CH1;2367;Loop door naar de troonzaal;CH1_A03;false;1;1;;;;;doorklik
K0033;CH1_A02_SLUIP;CH1;2381;Loop door naar de troonzaal;CH1_A03;false;1;1;;;;;doorklik
K0034;CH1_A03;CH1;2395;Wacht af wat Bacchus te bieden heeft;CH1_A04;false;1;1;;;;;doorklik
K0035;CH1_A04;CH1;2413;Blijf kijken wat er gebeurt;CH1_A05;false;1;1;;;;;doorklik
K0036;CH1_A05;CH1;2437;Kijk toe hoe hij verder gaat;CH1_A06;false;1;1;;;;;doorklik
K0037;CH1_A06;CH1;2454;Kijk onbewogen toe — hij wist waar hij om vroeg;CH1_A07;true;3;1;;SEVERITAS;;;duurzaam-houding
K0038;CH1_A06;CH1;2454;"Kijk toe, nog niet goed wetend wat je van dit alles moet denken";CH1_A07;true;3;1;;NEUTRAL;;;schijnkeuze
K0039;CH1_A06;CH1;2454;Kijk met groeiend medeleven hoe zijn paniek toeneemt;CH1_A07;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0040;CH1_A07;CH1;2472;"Grijp hem stevig bij zijn schouders, om hem tot bezinning te schudden";CH1_A08;true;3;1;;SEVERITAS;;;duurzaam-houding
K0041;CH1_A07;CH1;2472;"Grijp hem bij zijn schouders, zelf niet zeker of dit troost of een schok moet zijn";CH1_A08;true;3;1;;NEUTRAL;;;schijnkeuze
K0042;CH1_A07;CH1;2472;"Grijp hem voorzichtig bij zijn schouders, om hem te troosten";CH1_A08;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0043;CH1_A08;CH1;2490;"Blijf eerst naast hem zitten, zodat hij niet alleen is met wat hij heeft gedaan";CH1_A08B;true;3;2;;CLEMENTIA;;;duurzaam-houding
K0044;CH1_A08;CH1;2490;"Blijf besluiteloos naast hem zitten, niet zeker wat je nu moet zeggen";CH1_A08B;true;3;2;;NEUTRAL;;;lokaal
K0045;CH1_A08;CH1;2490;"Wijs hem meteen op Bacchus, die alles zag gebeuren";CH1_A09;true;3;2;;SEVERITAS;;;duurzaam-houding
K0046;CH1_A08B;CH1;2508;"Wijs hem op Bacchus, die alles zag gebeuren";CH1_A09;false;1;1;;;;;doorklik
K0047;CH1_A09;CH1;2524;Wacht op het antwoord van de god;CH1_A10;false;1;1;;;;;doorklik
K0048;CH1_A10;CH1;2543;"Blijf vlak naast Midas, klaar om hem overeind te houden wanneer hij weer struikelt";CH1_A10_OPEN;true;3;3;;;ch1_a10_route=open;;lokaal
K0049;CH1_A10;CH1;2543;Duw de dichtklappende poort met kracht open zodat jullie er meteen doorheen kunnen;CH1_A10_VIS;true;3;3;STAT vis 13;;ch1_a10_route=vis;;lokaal
K0050;CH1_A10;CH1;2543;Praat de paniekerige poortwacht om vóór hij het slot dichtgooit;CH1_A10_GRATIA;true;3;3;STAT gratia 11;;ch1_a10_route=gratia;;lokaal
K0051;CH1_A10_OPEN;CH1;2561;Kijk toe hoe Midas zich in het water werpt;CH1_A10B;false;1;1;;;ch1_lijn=A | ch1_voltooid=true;;doorklik
K0052;CH1_A10_VIS;CH1;2578;Kijk toe hoe Midas zich in het water werpt;CH1_A10B;false;1;1;;;ch1_lijn=A | ch1_voltooid=true;;doorklik
K0053;CH1_A10_GRATIA;CH1;2595;Kijk toe hoe Midas zich in het water werpt;CH1_A10B;false;1;1;;;ch1_lijn=A | ch1_voltooid=true;;doorklik
K0054;CH1_A10B;CH1;2612;Loop meteen door — er wacht nog werk aan de naam die je moet redden;CH1_A11;true;3;1;;SEVERITAS;;;duurzaam-houding
K0055;CH1_A10B;CH1;2612;"Werp een laatste blik terug, zonder er verder bij stil te staan";CH1_A11;true;3;1;;NEUTRAL;;;schijnkeuze
K0056;CH1_A10B;CH1;2612;"Kijk nog eenmaal om, met medeleven voor de man die zoveel verloor en terugkreeg";CH1_A11;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0057;CH1_A11;CH1;2650;Luister verder;CH1_ROBE;false;1;1;;;;;doorklik
K0058;CH1_B01;CH1;2672;Beklim direct de laatste helling naar de top;CH1_B01C;true;2;2;;;;;lokaal
K0059;CH1_B01;CH1;2672;Vraag de herder waarom hij zo angstig wegvlucht;CH1_B01B;true;2;2;;;;;lokaal
K0060;CH1_B01B;CH1;2694;Je hebt geen tijd voor meer vragen en klimt meteen door;CH1_B01C;true;3;1;;SEVERITAS;;;duurzaam-houding
K0061;CH1_B01B;CH1;2694;"Overweeg zijn woorden een moment, en klim dan verder";CH1_B01C;true;3;1;;NEUTRAL;;;schijnkeuze
K0062;CH1_B01B;CH1;2694;Bedank de herder voor zijn waarschuwing voor je verdergaat;CH1_B01C;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0063;CH1_B01C;CH1;2712;"Volg het kronkelende pelgrimspad, langzamer maar voor iedereen begaanbaar";CH1_B01_PAD;true;3;3;;;ch1_b01_route=pad;;lokaal
K0064;CH1_B01C;CH1;2712;"Klim recht tegen de rotswand op, rechtstreeks de aanzwellende wind in";CH1_B01_VIS;true;3;3;STAT vis 13;;ch1_b01_route=vis;;lokaal
K0065;CH1_B01C;CH1;2712;"Spring behendig van steen naar steen over een smalle, afbrokkelende richel";CH1_B01_AGI;true;3;3;STAT agilitas 11;;ch1_b01_route=agilitas;;lokaal
K0066;CH1_B01_PAD;CH1;2728;Loop de top van de Olympos op;CH1_B02;false;1;1;;;;;doorklik
K0067;CH1_B01_VIS;CH1;2745;Loop de top van de Olympos op;CH1_B02;false;1;1;;;;;doorklik
K0068;CH1_B01_AGI;CH1;2762;Loop de top van de Olympos op;CH1_B02;false;1;1;;;;;doorklik
K0069;CH1_B02;CH1;2779;Blijf nuchter — een pijnlijke geboorte is nog geen excuus voor wat hij Metis aandeed;CH1_B03;true;3;1;;SEVERITAS;;;duurzaam-houding
K0070;CH1_B02;CH1;2779;Kijk toe zonder een duidelijke mening te vormen over wat je ziet;CH1_B03;true;3;1;;NEUTRAL;;;schijnkeuze
K0071;CH1_B02;CH1;2779;"Voel medelijden met Zeus, ondanks alles wat hij heeft gedaan";CH1_B03;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0072;CH1_B03;CH1;2797;Volg het gefluister naar Zeus' troon;CH1_B04;false;1;1;;;;;doorklik
K0073;CH1_B04;CH1;2817;Kijk niet weg;CH1_B05;false;1;1;;;;;doorklik
K0074;CH1_B05;CH1;2839;Kijk hoe ze voor het eerst ademhaalt;CH1_B06;false;1;1;;;;;doorklik
K0075;CH1_B06;CH1;2858;Kijk hoe Zeus als eerste zijn stem hervindt;CH1_B07;true;2;2;;;;;lokaal
K0076;CH1_B06;CH1;2858;"Kijk naar de andere goden, die zich stilletjes terugtrekken";CH1_B06B;true;2;2;;;;;lokaal
K0077;CH1_B06B;CH1;2878;Wacht af hoe zij antwoordt;CH1_B07;false;1;1;;;;;doorklik
K0078;CH1_B07;CH1;2894;"Kijk toe, vooral benieuwd wat haar aanwezigheid voor de Olympos gaat betekenen";CH1_B08;true;3;1;;SEVERITAS;ch1_lijn=B | ch1_voltooid=true;;duurzaam
K0079;CH1_B07;CH1;2894;"Kijk toe, vooral afwachtend wat er nu gaat gebeuren";CH1_B08;true;3;1;;NEUTRAL;ch1_lijn=B | ch1_voltooid=true;;duurzaam
K0080;CH1_B07;CH1;2894;"Kijk toe, ontroerd door het moment tussen vader en dochter";CH1_B08;true;3;1;;CLEMENTIA;ch1_lijn=B | ch1_voltooid=true;;duurzaam
K0081;CH1_B08;CH1;2912;Daal meteen af — er is nog werk te doen;CH1_B09;true;3;1;;SEVERITAS;;;duurzaam-houding
K0082;CH1_B08;CH1;2912;"Daal af, nog steeds nadenkend over wat je zojuist hebt gezien";CH1_B09;true;3;1;;NEUTRAL;;;schijnkeuze
K0083;CH1_B08;CH1;2912;"Daal af, dankbaar dat je bij zo'n geboorte mocht zijn";CH1_B09;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0084;CH1_B09;CH1;2950;Luister verder;CH1_ROBE;false;1;1;;;;;doorklik
K0085;CH1_C01;CH1;2972;"Loop resoluut door — verhalen zijn mooi, maar je wilt het zelf zien";CH1_C02;true;3;1;;SEVERITAS;;;duurzaam-houding
K0086;CH1_C01;CH1;2972;"Loop verder in gedachten, niet meteen overtuigd van het hele verhaal";CH1_C02;true;3;1;;NEUTRAL;;;schijnkeuze
K0087;CH1_C01;CH1;2972;"Haast je naar de vallei, bewogen door het verhaal van de oude vrouw";CH1_C02;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0088;CH1_C02;CH1;2995;"Volg hem meteen, vastbesloten als hij is";CH1_C03;true;2;2;;;;;lokaal
K0089;CH1_C02;CH1;2995;"Wacht tot het donker is, zodat hij ongezien de Olympos op kan";CH1_C02B;true;2;2;;;;;lokaal
K0090;CH1_C02B;CH1;3012;Volg hem terwijl hij zich naar het vuur van de goden waagt;CH1_C03;false;1;1;;;;;doorklik
K0091;CH1_C03;CH1;3028;Kom dichterbij;CH1_C03B;false;1;1;;;;;doorklik
K0092;CH1_C03B;CH1;3047;"Blijf op veilige afstand, in de schaduw die er toch al ligt";CH1_C03_OPEN;true;3;3;;;ch1_c03_route=open;;lokaal
K0093;CH1_C03B;CH1;3047;"Sluip mee tussen de zuilen, exact in de pas van Prometheus";CH1_C03_AGI;true;3;3;STAT agilitas 11;;ch1_c03_route=agilitas;;lokaal
K0094;CH1_C03B;CH1;3047;"Klim in plaats daarvan recht langs de rotsrand omhoog — zwaarder, maar sneller bij de haard";CH1_C03_VIS;true;3;3;STAT vis 13;;ch1_c03_route=vis;;lokaal
K0095;CH1_C03_OPEN;CH1;3063;Kijk hoe Prometheus een vonk verbergt;CH1_C04;false;1;1;;;;;doorklik
K0096;CH1_C03_AGI;CH1;3080;Kijk hoe Prometheus een vonk verbergt;CH1_C04;false;1;1;;;;;doorklik
K0097;CH1_C03_VIS;CH1;3097;Kijk hoe Prometheus een vonk verbergt;CH1_C04;false;1;1;;;;;doorklik
K0098;CH1_C04;CH1;3114;Kijk toe hoe de hemel dit opmerkt;CH1_C05;false;1;1;;;;;doorklik
K0099;CH1_C05;CH1;3130;Kijk toe zonder oordeel — de goden doen wat goden doen;CH1_C06;true;3;1;;SEVERITAS;;;duurzaam-houding
K0100;CH1_C05;CH1;3130;Wacht simpelweg af wat Zeus heeft bedacht;CH1_C06;true;3;1;;NEUTRAL;;;schijnkeuze
K0101;CH1_C05;CH1;3130;"Vrees voor wat dit gaat opleveren, met medelijden voor wie straks de gevolgen zal dragen";CH1_C06;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0102;CH1_C06;CH1;3148;Volg Pandora naar de mensenwereld;CH1_C07;false;1;1;;;;;doorklik
K0103;CH1_C07;CH1;3169;Kijk toe op het moment dat ze het deksel licht;CH1_C08;true;2;2;;;;;lokaal
K0104;CH1_C07;CH1;3169;Kijk hoe Epimetheus probeert haar aandacht af te leiden;CH1_C07B;true;2;2;;;;;lokaal
K0105;CH1_C07B;CH1;3192;Kijk toe op het moment dat ze het deksel licht;CH1_C08;false;1;1;;;;;doorklik
K0106;CH1_C08;CH1;3208;Richt je blik meteen op de doos — is dit werkelijk alles wat erin zat?;CH1_C09;true;3;1;;SEVERITAS;;;duurzaam-houding
K0107;CH1_C08;CH1;3208;"Kijk toe, niet goed wetend wie of wat hier het meest je aandacht verdient";CH1_C09;true;3;1;;NEUTRAL;;;schijnkeuze
K0108;CH1_C08;CH1;3208;"Kniel bij Pandora neer, die verstijfd is van schrik en schuldgevoel";CH1_C09;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0109;CH1_C09;CH1;3229;"Ga naar hem toe, vooral nieuwsgierig naar wat een titaan drijft tot zo'n offer";CH1_C09B;true;3;1;;SEVERITAS;;;duurzaam-houding
K0110;CH1_C09;CH1;3229;"Ga naar hem toe, zonder meteen te weten wat je tegen hem wilt zeggen";CH1_C09B;true;3;1;;NEUTRAL;;;schijnkeuze
K0111;CH1_C09;CH1;3229;"Ga naar hem toe, vervuld van medelijden voor wat hij voor de mensheid heeft opgeofferd";CH1_C09B;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0112;CH1_C09B;CH1;3250;Volg het karrenspoor dat om de berg heen naar de pas voert;CH1_C09_PAD;true;3;3;;;ch1_c09_route=open;;lokaal
K0113;CH1_C09B;CH1;3250;"Beklim de rotswand rechtstreeks, hand over hand tegen het zwaartepunt in";CH1_C09_VIS;true;3;3;STAT vis 13;;ch1_c09_route=vis;;lokaal
K0114;CH1_C09B;CH1;3250;Lees het vluchtpatroon van de adelaar — zijn dagelijkse route verraadt de kortste weg naar de rots;CH1_C09_PRU;true;3;3;STAT prudentia 11;;ch1_c09_route=prudentia;;lokaal
K0115;CH1_C09_PAD;CH1;3266;Kijk omhoog naar waar Prometheus geketend hangt;CH1_C10;false;1;1;;;;;doorklik
K0116;CH1_C09_VIS;CH1;3283;Kijk omhoog naar waar Prometheus geketend hangt;CH1_C10;false;1;1;;;;;doorklik
K0117;CH1_C09_PRU;CH1;3300;Kijk omhoog naar waar Prometheus geketend hangt;CH1_C10;false;1;1;;;;;doorklik
K0118;CH1_C10;CH1;3317;Beantwoord zijn blik;CH1_C11;false;1;1;;;ch1_lijn=C | ch1_voltooid=true;;doorklik
K0119;CH1_C11;CH1;3336;"Loop verder, terug naar de bewoonde wereld";CH1_C12;false;1;1;;;;;doorklik
K0120;CH1_C12;CH1;3372;Luister verder;CH1_ROBE;false;1;1;;;;;doorklik
K0121;CH1_ROBE;CH1;3394;Trek de mantel aan;CH1_CODEX_UITLEG;false;1;1;;;;;doorklik
K0122;CH1_CODEX_UITLEG;CH1;3416;Doorgaan;CH1_EINDE;false;1;1;;;;;doorklik
K0123;CH1_EINDE;CH1;3432;Stap door de poort;CH2_000;false;1;1;;;;;doorklik
K0124;CH2_000;CH2;3484;"Volg het spoor van Latona, een titanide die Jupiters kind draagt en nergens welkom is";CH2_L01;true;5;5;DONE ch2_lijn_latona;;;;lokaal
K0125;CH2_000;CH2;3484;"Volg het lot van Semele, een prinses van Thebe die niet weet wie haar minnaar werkelijk is";CH2_S01;true;5;5;DONE ch2_lijn_semele;;;;lokaal
K0126;CH2_000;CH2;3484;"Volg Kallisto, een jachtgezellin van Artemis die niemand kan vertrouwen wat ze ziet";CH2_K01;true;5;5;DONE ch2_lijn_kallisto;;;;lokaal
K0127;CH2_000;CH2;3484;"Volg Herakles, Zeus' sterfelijke zoon die Hera al haat sinds voor zijn geboorte";CH2_H01;true;5;5;DONE ch2_lijn_herakles;;;;lokaal
K0128;CH2_000;CH2;3484;"Spreek het Orakel aan, nu alle vier de verhalen zijn gehoord";CH2_ATHENA;true;5;5;REQUIRE fragments=4;;;;lokaal
K0129;CH2_L01;CH2;3507;Volg Latona op haar zoektocht;CH2_L02;false;1;1;;;;;doorklik
K0130;CH2_L02;CH2;3526;Trek weifelend verder — je weet niet goed wat je van de herder moet denken;CH2_L03;true;3;2;;NEUTRAL;;;lokaal
K0131;CH2_L02;CH2;3526;"Schuil dankbaar in het riet, ontroerd door zijn stille moed";CH2_L02B;true;3;2;;CLEMENTIA;;;duurzaam-houding
K0132;CH2_L02;CH2;3526;Trek meteen verder — je vertrouwt niemand meer die zo snel weer verdwijnt;CH2_L03;true;3;2;;SEVERITAS;;;duurzaam-houding
K0133;CH2_L02B;CH2;3544;"Ga met haar mee, verder op zoek naar een echte schuilplaats";CH2_L03;false;1;1;;;;;doorklik
K0134;CH2_L03;CH2;3558;"Blijf haar volgen, ondanks alles";CH2_L04;false;1;1;;;;;doorklik
K0135;CH2_L04;CH2;3575;Wacht af wat ze doen;CH2_L05;false;1;1;;;;;doorklik
K0136;CH2_L05;CH2;3591;Ren met haar mee;CH2_L06;false;1;1;;;;;doorklik
K0137;CH2_L06;CH2;3608;Blijf naast haar;CH2_L06B;false;1;1;;;;;doorklik
K0138;CH2_L06B;CH2;3625;"Ren blindelings verder naast haar, op adrenaline alleen";CH2_L06_OPEN;true;3;3;;;ch2_l06_route=open;;lokaal
K0139;CH2_L06B;CH2;3625;"Leid haar zigzaggend tussen de rotsen door, te snel en te lenig voor het logge beest";CH2_L06_AGI;true;3;3;STAT agilitas 11;;ch2_l06_route=agilitas;;lokaal
K0140;CH2_L06B;CH2;3625;Bijt door je eigen pijn heen en houd het tempo naast haar vol tot de kustlijn;CH2_L06_ROB;true;3;3;STAT robur 13;;ch2_l06_route=robur;;lokaal
K0141;CH2_L06_OPEN;CH2;3641;Kijk uit naar een laatste toevlucht;CH2_L07;false;1;1;;;;;doorklik
K0142;CH2_L06_AGI;CH2;3658;Kijk uit naar een laatste toevlucht;CH2_L07;false;1;1;;;;;doorklik
K0143;CH2_L06_ROB;CH2;3675;Kijk uit naar een laatste toevlucht;CH2_L07;false;1;1;;;;;doorklik
K0144;CH2_L07;CH2;3692;"Wijs het eiland erop dat het toch al niets te verliezen heeft, rondzwervend als het is";CH2_L08;true;4;2;;SEVERITAS;ch2_lijn_latona=true;;duurzaam
K0145;CH2_L07;CH2;3692;"Smeek het eiland gewoon om hulp, zonder overtuigingskracht te zoeken";CH2_L08;true;4;2;;NEUTRAL;ch2_lijn_latona=true;;duurzaam
K0146;CH2_L07;CH2;3692;Beloof het eiland eeuwige verering als het haar redt;CH2_L08;true;4;2;;CLEMENTIA;ch2_lijn_latona=true;;duurzaam
K0147;CH2_L07;CH2;3692;"Spreek Delos aan als gelijke, niet als smekeling — twee verstotenen die elkaar herkennen";CH2_L07B;true;4;2;STAT gratia 13;;ch2_l07_route=gratia;athena +1;duurzaam
K0148;CH2_L07B;CH2;3714;Kijk toe hoe Delos zich verankert;CH2_L08;false;1;1;;;ch2_lijn_latona=true;;doorklik
K0149;CH2_L08;CH2;3736;"Kijk wat er nog met Latona gebeurt, nu haar tweeling geboren is";CH2_L08B;false;1;1;;;;;doorklik
K0150;CH2_L08B;CH2;3775;Keer terug — er wachten nog meer verhalen;CH2_000;false;1;1;;;;;doorklik
K0151;CH2_S01;CH2;3794;Volg Semele door de volgende nacht;CH2_S02;false;1;1;;;;;doorklik
K0152;CH2_S02;CH2;3813;Luister aandachtig — haar wantrouwen groeit met elk woord;CH2_S03;true;3;2;;SEVERITAS;;;duurzaam-houding
K0153;CH2_S02;CH2;3813;Weet zelf niet goed wat je van haar woorden moet denken;CH2_S02B;true;3;2;;NEUTRAL;;;lokaal
K0154;CH2_S02;CH2;3813;"Wuif de twijfel eerst weg, uit vertrouwen in haar minnaar";CH2_S02B;true;3;2;;CLEMENTIA;;;duurzaam-houding
K0155;CH2_S02B;CH2;3831;Stel hem de vraag die ze niet meer kan inslikken;CH2_S03;false;1;1;;;;;doorklik
K0156;CH2_S03;CH2;3845;Wacht af wat Semele nu van hem vraagt;CH2_S04;false;1;1;;;;;doorklik
K0157;CH2_S04;CH2;3862;Kijk hoe Jupiter reageert op haar eis;CH2_S05;false;1;1;;;;;doorklik
K0158;CH2_S05;CH2;3879;Denk streng — hij had zo'n eed nooit lichtzinnig mogen zweren;CH2_S06;true;3;1;;SEVERITAS;;;duurzaam-houding
K0159;CH2_S05;CH2;3879;"Kijk toe, niet goed wetend wie hier eigenlijk het meeste medelijden verdient";CH2_S06;true;3;1;;NEUTRAL;;;schijnkeuze
K0160;CH2_S05;CH2;3879;"Voel meelij met Jupiter, gevangen door zijn eigen onbezonnen woord";CH2_S06;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0161;CH2_S06;CH2;3900;Doorzoek de as;CH2_S06B;false;1;1;;;;;doorklik
K0162;CH2_S06B;CH2;3920;"Zoek voorzichtig langs de rand van de as, op veilige afstand van de gloed";CH2_S06_OPEN;true;3;3;;;ch2_s06_route=open;;lokaal
K0163;CH2_S06B;CH2;3920;"Breek met kracht door omgevallen, nog gloeiende balken heen om dieper te kunnen zoeken";CH2_S06_VIS;true;3;3;STAT vis 13;;ch2_s06_route=vis;;lokaal
K0164;CH2_S06B;CH2;3920;"Lees de sporen in de as — een verstoord plekje, de richting waarin iets net is verdwenen";CH2_S06_PRU;true;3;3;STAT prudentia 11;;ch2_s06_route=prudentia;;lokaal
K0165;CH2_S06_OPEN;CH2;3936;Kijk of er nog iets van haar te redden valt;CH2_S07;false;1;1;;;;;doorklik
K0166;CH2_S06_VIS;CH2;3953;Kijk of er nog iets van haar te redden valt;CH2_S07;false;1;1;;;;;doorklik
K0167;CH2_S06_PRU;CH2;3970;Kijk of er nog iets van haar te redden valt;CH2_S07;false;1;1;;;;;doorklik
K0168;CH2_S07;CH2;3987;Wacht de laatste maanden af;CH2_S08;false;1;1;;;ch2_lijn_semele=true;;doorklik
K0169;CH2_S08;CH2;4003;Keer terug — er wachten nog meer verhalen;CH2_000;false;1;1;;;;;doorklik
K0170;CH2_K01;CH2;4045;Kijk toe wat Zeus van plan is;CH2_K02;false;1;1;;;;;doorklik
K0171;CH2_K02;CH2;4064;Blijf nuchter — dit is hoe goden nu eenmaal met stervelingen omgaan;CH2_K03;true;3;1;;SEVERITAS;;;duurzaam-houding
K0172;CH2_K02;CH2;4064;Weet niet goed wat je van Zeus' gedrag moet vinden;CH2_K03;true;3;1;;NEUTRAL;;;schijnkeuze
K0173;CH2_K02;CH2;4064;"Voel woede namens Kallisto, die niets van dit alles kon vermoeden";CH2_K03;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0174;CH2_K03;CH2;4082;Volg haar terug naar de groep;CH2_K04;false;1;1;;;;;doorklik
K0175;CH2_K04;CH2;4096;Kijk toe hoe Kallisto de groep verlaat;CH2_K05;false;1;1;;;;;doorklik
K0176;CH2_K05;CH2;4113;Volg haar het gebergte in;CH2_K05B;false;1;1;;;;;doorklik
K0177;CH2_K05B;CH2;4130;"Blijf op veilige afstand en volg haar spoor rustiger, ook al raak je haar soms bijna kwijt";CH2_K05_OPEN;true;3;3;;;ch2_k05_route=open;;lokaal
K0178;CH2_K05B;CH2;4130;"Zet door in haar moordende tempo, uren aan een stuk, zonder de rust te vragen die zij zichzelf ook niet gunt";CH2_K05_ROB;true;3;3;STAT robur 13;;ch2_k05_route=robur;;lokaal
K0179;CH2_K05B;CH2;4130;Lees afgebroken takjes en verstoorde steentjes en neem een kortere route die je vóór haar op het volgende punt brengt;CH2_K05_PRU;true;3;3;STAT prudentia 11;;ch2_k05_route=prudentia;;lokaal
K0180;CH2_K05_OPEN;CH2;4146;"Blijf haar volgen, ondanks alles";CH2_K06;false;1;1;;;;;doorklik
K0181;CH2_K05_ROB;CH2;4163;"Blijf haar volgen, ondanks alles";CH2_K06;false;1;1;;;;;doorklik
K0182;CH2_K05_PRU;CH2;4180;"Blijf haar volgen, ondanks alles";CH2_K06;false;1;1;;;;;doorklik
K0183;CH2_K06;CH2;4197;Weet allang dat genade nooit Hera's stijl is geweest;CH2_K07;true;3;1;;SEVERITAS;;;duurzaam-houding
K0184;CH2_K06;CH2;4197;Wacht simpelweg af wat Hera gaat doen;CH2_K07;true;3;1;;NEUTRAL;;;schijnkeuze
K0185;CH2_K06;CH2;4197;Hoop in stilte dat Hera deze ene keer genade toont;CH2_K07;true;3;1;;CLEMENTIA;;;duurzaam-houding
K0186;CH2_K07;CH2;4213;Volg haar spoor de jaren door;CH2_K08;false;1;1;;;;;doorklik
K0187;CH2_K08;CH2;4238;Wacht af wat er gebeurt;CH2_K09;false;1;1;;;ch2_lijn_kallisto=true;;doorklik
K0188;CH2_K09;CH2;4254;Keer terug — er wachten nog meer verhalen;CH2_000;false;1;1;;;;;doorklik
K0189;CH2_H01;CH2;4296;Kijk naar zijn eerste dagen als baby;CH2_H02;false;1;1;;;;;doorklik
K0190;CH2_H02;CH2;4315;Kijk hoe de familie op dit voorteken reageert;CH2_H03;false;1;1;;;;;doorklik
K0191;CH2_H03;CH2;4334;Voel onbehagen — een kracht als deze trekt altijd rampspoed aan;CH2_H04;true;3;1;;SEVERITAS;;;duurzaam-houding
